final_cost=58 | time=0.05149984359741211 | route=[0, 7, 16, 4, 3, 8, 11, 2, 13, 9, 10, 12, 1, 15, 5, 6, 14] | tabu_value=3 | iter_number=50
final_cost=50 | time=0.05347919464111328 | route=[9, 13, 2, 12, 10, 14, 6, 15, 5, 4, 3, 8, 7, 1, 0, 11, 16] | tabu_value=3 | iter_number=50
final_cost=56 | time=0.05096292495727539 | route=[0, 11, 1, 9, 15, 5, 14, 4, 3, 8, 16, 7, 10, 2, 13, 12, 6] | tabu_value=3 | iter_number=50
final_cost=60 | time=0.052514076232910156 | route=[14, 10, 9, 6, 5, 15, 3, 4, 16, 7, 12, 1, 2, 13, 0, 11, 8] | tabu_value=3 | iter_number=50
final_cost=78 | time=0.051972150802612305 | route=[11, 0, 8, 7, 16, 1, 10, 13, 2, 9, 12, 14, 15, 5, 6, 3, 4] | tabu_value=3 | iter_number=50
final_cost=55 | time=0.052999258041381836 | route=[7, 4, 3, 14, 15, 8, 16, 12, 9, 1, 10, 2, 13, 0, 11, 5, 6] | tabu_value=3 | iter_number=50
final_cost=68 | time=0.04899859428405762 | route=[1, 6, 15, 4, 3, 16, 12, 9, 8, 7, 0, 13, 2, 10, 14, 5, 11] | tabu_value=3 | iter_number=50
final_cost=61 | time=0.04949784278869629 | route=[8, 3, 4, 14, 5, 1, 2, 13, 9, 15, 6, 7, 16, 10, 12, 11, 0] | tabu_value=3 | iter_number=50
final_cost=52 | time=0.05252981185913086 | route=[6, 3, 5, 14, 15, 9, 12, 2, 13, 1, 10, 0, 11, 7, 16, 8, 4] | tabu_value=3 | iter_number=50
final_cost=61 | time=0.05150127410888672 | route=[8, 16, 3, 4, 7, 0, 13, 2, 1, 9, 10, 15, 5, 6, 14, 11, 12] | tabu_value=3 | iter_number=50
final_cost=73 | time=0.053528785705566406 | route=[1, 12, 10, 7, 8, 11, 0, 2, 9, 14, 15, 5, 6, 4, 3, 16, 13] | tabu_value=3 | iter_number=50
final_cost=42 | time=0.048998355865478516 | route=[1, 9, 11, 0, 5, 14, 4, 3, 6, 15, 7, 8, 16, 10, 12, 2, 13] | tabu_value=3 | iter_number=50
final_cost=91 | time=0.05500674247741699 | route=[4, 3, 14, 15, 10, 9, 12, 8, 7, 16, 5, 6, 11, 0, 2, 13, 1] | tabu_value=3 | iter_number=50
final_cost=61 | time=0.04949688911437988 | route=[2, 1, 8, 16, 7, 3, 4, 15, 9, 13, 0, 11, 14, 5, 6, 12, 10] | tabu_value=3 | iter_number=50
final_cost=41 | time=0.05399918556213379 | route=[7, 16, 8, 14, 6, 15, 3, 4, 5, 11, 0, 13, 2, 9, 12, 1, 10] | tabu_value=3 | iter_number=50
final_cost=42 | time=0.05049872398376465 | route=[3, 4, 6, 9, 2, 13, 1, 10, 12, 0, 11, 7, 16, 8, 15, 14, 5] | tabu_value=3 | iter_number=50
