final_cost=4292 | time=0.5624961853027344 | route=[9, 8, 0, 1, 2, 13, 7, 10, 12, 6, 11, 5, 4, 3] | tabu_value=3 | iter_number=1000
final_cost=4347 | time=0.5625038146972656 | route=[3, 2, 1, 0, 7, 12, 6, 4, 5, 11, 13, 10, 9, 8] | tabu_value=3 | iter_number=1000
final_cost=4368 | time=0.5625009536743164 | route=[0, 1, 2, 3, 5, 11, 13, 7, 9, 8, 10, 12, 6, 4] | tabu_value=3 | iter_number=1000
final_cost=4192 | time=0.5625 | route=[0, 1, 2, 13, 7, 8, 9, 10, 12, 6, 4, 3, 11, 5] | tabu_value=3 | iter_number=1000
final_cost=3661 | time=0.5781242847442627 | route=[2, 3, 4, 5, 11, 13, 6, 12, 1, 0, 9, 8, 10, 7] | tabu_value=3 | iter_number=1000
final_cost=3878 | time=0.5468761920928955 | route=[4, 5, 12, 7, 0, 1, 9, 8, 10, 13, 2, 3, 11, 6] | tabu_value=3 | iter_number=1000
final_cost=4071 | time=0.5781257152557373 | route=[4, 6, 10, 8, 9, 1, 0, 7, 12, 11, 5, 3, 13, 2] | tabu_value=3 | iter_number=1000
final_cost=3650 | time=0.5468742847442627 | route=[2, 13, 3, 4, 5, 11, 6, 12, 7, 1, 0, 9, 8, 10] | tabu_value=3 | iter_number=1000
final_cost=4042 | time=0.5781447887420654 | route=[9, 3, 4, 5, 11, 6, 12, 13, 2, 1, 0, 8, 10, 7] | tabu_value=3 | iter_number=1000
final_cost=3993 | time=0.5625045299530029 | route=[0, 7, 10, 8, 9, 1, 2, 13, 11, 5, 12, 6, 4, 3] | tabu_value=3 | iter_number=1000
final_cost=3632 | time=0.5781228542327881 | route=[0, 1, 9, 8, 10, 7, 12, 13, 2, 3, 4, 5, 11, 6] | tabu_value=3 | iter_number=1000
final_cost=3770 | time=0.5625002384185791 | route=[3, 2, 13, 11, 5, 6, 12, 7, 10, 8, 9, 0, 1, 4] | tabu_value=3 | iter_number=1000
final_cost=4240 | time=0.550062894821167 | route=[3, 2, 1, 0, 13, 5, 11, 6, 12, 10, 8, 9, 7, 4] | tabu_value=3 | iter_number=1000
final_cost=3937 | time=0.546865701675415 | route=[0, 7, 1, 9, 8, 10, 12, 6, 13, 2, 11, 5, 4, 3] | tabu_value=3 | iter_number=1000
final_cost=4328 | time=0.5468747615814209 | route=[10, 5, 11, 13, 7, 0, 8, 9, 1, 2, 3, 4, 6, 12] | tabu_value=3 | iter_number=1000
final_cost=3767 | time=0.5624959468841553 | route=[4, 5, 11, 12, 10, 8, 9, 0, 7, 1, 13, 2, 3, 6] | tabu_value=3 | iter_number=1000
final_cost=3796 | time=0.5625007152557373 | route=[12, 6, 11, 5, 4, 3, 13, 10, 8, 9, 7, 0, 1, 2] | tabu_value=3 | iter_number=1000
final_cost=3924 | time=0.5468828678131104 | route=[1, 9, 8, 10, 0, 7, 12, 4, 3, 2, 13, 6, 5, 11] | tabu_value=3 | iter_number=1000
final_cost=3371 | time=0.5468716621398926 | route=[12, 6, 11, 5, 4, 3, 2, 13, 1, 9, 8, 10, 0, 7] | tabu_value=3 | iter_number=1000
final_cost=3653 | time=0.5468711853027344 | route=[0, 1, 9, 8, 7, 12, 6, 11, 5, 4, 3, 2, 13, 10] | tabu_value=3 | iter_number=1000
final_cost=3807 | time=0.562492847442627 | route=[9, 8, 10, 7, 0, 1, 13, 11, 5, 4, 3, 2, 12, 6] | tabu_value=3 | iter_number=1000
final_cost=4052 | time=2.892500162124634 | route=[12, 13, 2, 3, 4, 6, 1, 0, 9, 8, 10, 7, 5, 11] | tabu_value=3 | iter_number=5000
final_cost=3487 | time=2.846156120300293 | route=[0, 1, 2, 3, 4, 5, 11, 6, 12, 13, 7, 10, 8, 9] | tabu_value=3 | iter_number=5000
final_cost=4310 | time=3.0246636867523193 | route=[3, 2, 13, 1, 0, 9, 8, 10, 4, 5, 11, 6, 12, 7] | tabu_value=3 | iter_number=5000
final_cost=3884 | time=2.9676291942596436 | route=[9, 8, 10, 7, 0, 1, 13, 2, 3, 4, 6, 12, 11, 5] | tabu_value=3 | iter_number=5000
final_cost=3503 | time=2.9246888160705566 | route=[9, 8, 0, 7, 12, 6, 5, 11, 4, 3, 2, 13, 1, 10] | tabu_value=3 | iter_number=5000
final_cost=3568 | time=3.0005619525909424 | route=[1, 9, 8, 10, 13, 2, 3, 4, 5, 11, 6, 12, 0, 7] | tabu_value=3 | iter_number=5000
final_cost=3531 | time=2.9944772720336914 | route=[4, 5, 6, 12, 10, 9, 8, 7, 0, 1, 13, 2, 3, 11] | tabu_value=3 | iter_number=5000
final_cost=3549 | time=2.906965494155884 | route=[13, 6, 5, 11, 4, 3, 2, 1, 0, 7, 9, 8, 10, 12] | tabu_value=3 | iter_number=5000
final_cost=4471 | time=2.9815311431884766 | route=[1, 12, 6, 11, 4, 3, 2, 13, 7, 10, 8, 9, 0, 5] | tabu_value=3 | iter_number=5000
final_cost=3967 | time=2.9474992752075195 | route=[12, 1, 0, 9, 8, 10, 7, 6, 11, 13, 2, 3, 5, 4] | tabu_value=3 | iter_number=5000
